create_date;link;id;name;regular_price;promotional_price;brand
2024-10-16T23:15:21Z;https://online.metro-cc.ru/products/nescafe-gold-190g;433965;Кофе Нескафе Голд растворимый, 190г;699;499;НЕСКАФЕ
2024-10-16T23:15:24Z;https://online.metro-cc.ru/products/8shth8g8shth16g-kofe-coffesso-sappuccino-crema-kapsuly;241844;Кофе в капсулах Coffesso Capuccino Crema для кофемашин Dolce Gusto 16шт, 192г;619;499;COFFESSO
2024-10-16T23:15:27Z;https://online.metro-cc.ru/products/v-zernah-carraro-primo-mattino-1-kg;107074;Кофе Carraro Primo Mattino в зернах, 1кг;2099;1799;CARRARO
2024-10-16T23:15:32Z;https://online.metro-cc.ru/products/255g-nap-kofeynyy-maccoffee-cappuccino-di-torino-3v1-rastv-254708;254708;Напиток кофейный MacCoffee Cappuccino Di Torino 3в1 растворимый, 25.5г;29;22;MACCOFFEE
2024-10-16T23:15:34Z;https://online.metro-cc.ru/products/jardin-naturalnyj-zharenyj-espresso-di-milano-250g;533474;Кофе Jardin Espresso di Milano натуральный молотый жареный, 250г;409;339;JARDIN
2024-10-16T23:15:41Z;https://online.metro-cc.ru/products/1kg-kofe-poetti-leggenda-oro-v-zernah;218716;Кофе Poetti Leggenda Oro в зернах, 1кг;2599;1399;POETTI
2024-10-16T23:15:43Z;https://online.metro-cc.ru/products/kofe-monarch-lungo-6-classico-molotyy-v-kapsulah-52g-x-10sht-52g;255724;Кофе Monarch Lungo 6 Classico молотый в капсулах (5.2г x 10шт), 52г;389;289;MONARCH
2024-10-16T23:15:46Z;https://online.metro-cc.ru/products/v-zernah-carraro-qualita-oro-500-g;112991;Кофе Carraro Qualita Oro в зернах, 500г;1299;1199;CARRARO
2024-10-16T23:15:48Z;https://online.metro-cc.ru/products/kimbo-extra-cream-v-zernah-1-kg;376494;Кофе Kimbo Extra Cream в зернах, 1кг;2199;1699;KIMBO
2024-10-16T23:15:52Z;https://online.metro-cc.ru/products/1kg-kofe-coferium-gold-selection-v-zernah;219193;Кофе Coferium Gold selection в зернах, 1кг;2099;1299;COFERIUM
